SECCION 1 - RESUMEN POR ZONA

"Zona","Matriculas","Personas","Capacidad (meta)","Cupos disponibles","Ocupacion (%)","Cursos","Grupos","En espera","Cursos baja ocupacion (<30%)"
Bogota & Cundinamarca,5959,5959,8750,2791,68.1,36,168,106,8
Antioquia Eje Cafetero,2602,2602,4900,2298,53.1,25,95,16,8
Caribe,1841,1841,2400,559,76.7,23,47,13,3
Santanderes & Boyaca,1365,1365,1470,105,92.9,16,28,11,2
Pacifico,3622,3622,4550,928,79.6,27,88,49,3
Sur y Llanos,3038,3038,5150,2112,59.0,20,103,42,4
Total 6 zonas,18427,18427,27220,8793,67.7,,529,237,28

SECCION 2 - DETALLE DE CURSOS POR ZONA

"Zona","Codigo","Curso","Grupos","Capacidad","Matriculados","Disponibles","Grupos llenos","En espera"
Caribe,C-2634,Sin Limites Virtual,1,50,5,45,0,0
Caribe,C-2733,Modisteria (Faldas),2,120,120,0,2,0
Caribe,C-2715,Bisuteria 1,1,60,60,0,1,0
Caribe,C-2536,Comprension Lectora,5,250,208,42,2,0
Caribe,C-2716,El ABC del Reciclaje,1,50,35,15,0,0
Caribe,C-2661,Orientacion Emprendedora,3,150,90,60,0,0
Caribe,C-2640,Sistemas Nivel 2,1,60,60,0,1,0
Caribe,C-2638,Sistemas e Informatica | Nivel basico,3,150,150,0,3,2
Caribe,C-2645,Ingles Nivel 1,5,200,200,0,5,3
Caribe,C-2649,Ingles Nivel 2,2,100,73,27,0,0
Caribe,C-2683,Italiano Nivel 1,1,60,60,0,1,1
Caribe,C-2688,Portugues Nivel 1,1,50,50,0,1,0
Caribe,C-2630,Profundizacion Costos para Emprendedores,1,50,4,46,0,0
Caribe,C-2533,Despertar Humano,4,200,112,88,1,0
Caribe,C-2734,Pintura en Madera,2,100,55,45,0,0
Caribe,C-2628,Economia del Hogar,4,200,130,70,1,2
Caribe,C-2550,Despertar Emprendedor,2,100,100,0,2,1
Caribe,C-2700,Mi Negocio en Internet,1,50,12,38,0,0
Santanderes & Boyaca,C-2531,Italiano Nivel 1,1,60,60,0,1,1
Santanderes & Boyaca,C-2674,Modisteria (Faldas),1,50,50,0,1,0
Santanderes & Boyaca,C-2622,Orientacion Emprendedora,1,50,50,0,1,0
Santanderes & Boyaca,C-2625,Familias Empresarias del Campo,1,50,50,0,1,0
Santanderes & Boyaca,C-2522,Profundizacion Costos para Emprendedores,1,60,8,52,0,0
Santanderes & Boyaca,C-2537,El ABC del Reciclaje,1,50,37,13,0,0
Santanderes & Boyaca,C-2624,Mi Negocio en Internet 1,1,50,10,40,0,0
Santanderes & Boyaca,C-2723,Sistemas Nivel 2,1,50,50,0,1,0
Santanderes & Boyaca,C-2518,Comprension Lectora,1,50,50,0,1,0
Santanderes & Boyaca,C-2529,Despertar Emprendedor 1,2,100,100,0,2,0
Santanderes & Boyaca,C-2530,Ingles Nivel 2,1,60,60,0,1,0
Santanderes & Boyaca,C-2526,Economia del Hogar,4,200,200,0,4,1
Santanderes & Boyaca,C-2677,Bisuteria 1,2,100,100,0,2,1
Santanderes & Boyaca,C-2528,Ingles Nivel 1,4,240,240,0,4,4
Santanderes & Boyaca,C-2532,Sistemas e Informatica | Nivel basico,2,100,100,0,2,1
Santanderes & Boyaca,C-2443,Despertar Humano,4,200,200,0,4,3
Pacifico,C-2439,Bienestar para la Persona Mayor,3,150,79,71,0,0
Pacifico,C-2440,Costos para Emprendedores/Contabilidad,1,60,9,51,0,0
Pacifico,C-2457,"Bisuteria 1, 2",1,60,60,0,1,1
Pacifico,C-2442,Business English 1,1,60,39,21,0,0
Pacifico,C-2472,Estrategias para la Busqueda de Empleo,3,150,24,126,0,0
Pacifico,C-2648,Ingles 1,7,350,350,0,7,25
Pacifico,C-2650,Ingles 2,7,350,167,183,0,0
Pacifico,C-2646,Pintura en madera 1,1,60,60,0,1,0
Pacifico,C-2520,Reposteria 2,2,120,53,67,0,0
Pacifico,C-2521,Reposteria 1,4,200,200,0,4,3
Pacifico,C-2642,Frances 1,4,200,200,0,4,4
Pacifico,C-2652,Italiano 1,3,150,150,0,3,4
Pacifico,C-2473,El ABC del Reciclaje,2,100,48,52,0,0
Pacifico,C-2474,Confeccion: Manejo de Maquinas,2,120,120,0,2,0
Pacifico,C-2527,Portugues 1,3,150,150,0,3,1
Pacifico,C-2486,Sistemas e Informatica | Nivel basico,8,400,400,0,8,7
Pacifico,C-2654,Modisteria 1 (Faldas),2,120,120,0,2,1
Pacifico,C-2441,Comprension Lectora,5,250,250,0,5,1
Pacifico,C-2635,Floristeria 1,1,60,60,0,1,1
Pacifico,C-2475,Despertar Emprendedor,3,150,150,0,3,1
Pacifico,C-2485,Sistemas Nivel 2,4,200,131,69,0,0
Pacifico,C-2643,Trenzas y Peinados,2,120,120,0,2,0
Pacifico,C-2632,Familias Empresarias del Campo,1,60,30,30,0,0
Pacifico,C-2647,Orientacion Emprendedora,4,200,200,0,4,0
Pacifico,C-2623,Despertar Humano,7,350,240,110,1,0
Pacifico,C-2627,Economia del Hogar,6,300,202,98,2,0
Pacifico,C-2653,Mi Negocio en Internet,1,60,10,50,0,0
Sur y Llanos,C-2464,Reposteria 1,2,100,100,0,2,4
Sur y Llanos,C-2468,Sistemas 2,3,150,150,0,3,0
Sur y Llanos,C-2456,Estrategias para la Busqueda de Empleo,1,50,29,21,0,0
Sur y Llanos,C-2446,Comprension Lectora,8,400,400,0,8,3
Sur y Llanos,C-2453,El ABC del Reciclaje,7,350,86,264,0,0
Sur y Llanos,C-2465,Reposteria 2,1,50,50,0,1,0
Sur y Llanos,C-2449,Despertar Humano,17,850,331,519,2,0
Sur y Llanos,C-2458,Familias Empresarias del Campo,2,100,68,32,0,0
Sur y Llanos,C-2462,Mi Negocio en Internet,5,250,15,235,0,0
Sur y Llanos,C-2448,Despertar Emprendedor,14,700,381,319,1,0
Sur y Llanos,C-2452,Economia del Hogar,10,500,259,241,2,1
Sur y Llanos,C-2459,Ingles 1,5,250,250,0,5,29
Sur y Llanos,C-2461,Peinados y Trenzas,1,50,50,0,1,2
Sur y Llanos,C-2467,Sistemas 1,5,250,250,0,5,2
Sur y Llanos,C-2445,Bienestar para la Persona Mayor,5,250,147,103,1,0
Sur y Llanos,C-2476,Orientacion Emprendedora,3,150,150,0,3,1
Sur y Llanos,C-2466,Sin Limites Virtual,2,100,26,74,0,0
Sur y Llanos,C-2447,Costos para Emprendedores/Contabilidad,5,250,7,243,0,0
Sur y Llanos,C-2460,Ingles 2,4,200,139,61,1,0
Sur y Llanos,C-2463,Modisteria 1 (Faldas),3,150,150,0,3,0

SECCION 3 - DETALLE DE GRUPOS POR CURSO

"Zona","Codigo","Curso","Grupo","Horario","Capacidad","Matriculados","En espera"
Bogota & Cundinamarca,C-2490,Business English 2,G-4779,Sabado 8:00 - 9:30 a.m,60,4,0
Bogota & Cundinamarca,C-2489,Business English 1,G-4778,Viernes 17:00 - 18:30 p.m,60,60,17
Bogota & Cundinamarca,C-2621,Manejo de Maquinas de Confeccion,G-4782,Miercoles 10:00 - 11:30 a.m,60,60,1
Bogota & Cundinamarca,C-2621,Manejo de Maquinas de Confeccion,G-4783,Viernes 8:00 - 9:30 a.m,60,60,0
Bogota & Cundinamarca,C-2552,Peinados y Trenzas,G-4762,Viernes 20:00 - 21:30 p.m,60,60,1
Bogota & Cundinamarca,C-2552,Peinados y Trenzas,G-4763,Jueves 15:00 - 16:30 p.m,60,60,0
Bogota & Cundinamarca,C-2552,Peinados y Trenzas,G-4836,Sabado 9:00 - 10:30 a.m,60,60,0
Bogota & Cundinamarca,C-2620,Profundizacion Costos para Emprendedores,G-4785,Martes 19:00 - 20:30 p.m,50,3,0
Bogota & Cundinamarca,C-2620,Profundizacion Costos para Emprendedores,G-4788,Miercoles 19:00 - 20:30 p.m,50,2,0
Bogota & Cundinamarca,C-2620,Profundizacion Costos para Emprendedores,G-4799,Jueves 20:00 - 21:30 p.m,50,4,0
Bogota & Cundinamarca,C-2620,Profundizacion Costos para Emprendedores,G-4800,Viernes 10:00 - 11:30 a.m,50,2,0
Bogota & Cundinamarca,C-2620,Profundizacion Costos para Emprendedores,G-4801,Sabado 10:00 - 11:30 a.m,50,1,0
Bogota & Cundinamarca,C-2559,Sistemas Nivel 2,G-4765,Martes 10:00 - 11:30 a.m,60,54,0
Bogota & Cundinamarca,C-2559,Sistemas Nivel 2,G-4767,Sabado 8:00 - 9:30 a.m,60,52,0
Bogota & Cundinamarca,C-2559,Sistemas Nivel 2,G-4768,Sabado 10:00 - 11:30 a.m,60,60,1
Bogota & Cundinamarca,C-2559,Sistemas Nivel 2,G-4831,Viernes 19:00 - 20:30 p.m,60,60,0
Bogota & Cundinamarca,C-2616,Economia del Hogar,G-4810,Martes 9:00 - 10:30 a.m,50,30,0
Bogota & Cundinamarca,C-2616,Economia del Hogar,G-4839,Martes 19:00 - 20:30 p.m,50,40,0
Bogota & Cundinamarca,C-2616,Economia del Hogar,G-4840,Martes 19:00 - 20:30 p.m,50,15,0
Bogota & Cundinamarca,C-2616,Economia del Hogar,G-4841,Miercoles 10:00 - 11:30 a.m,50,17,0
Bogota & Cundinamarca,C-2616,Economia del Hogar,G-4843,Viernes 19:00 - 20:30 p.m,50,33,0
Bogota & Cundinamarca,C-2616,Economia del Hogar,G-4844,Sabado 8:00 - 9:30 a.m,50,44,0
Bogota & Cundinamarca,C-2616,Economia del Hogar,G-4845,Sabado 9:00 - 10:30 a.m,50,19,0
Bogota & Cundinamarca,C-2616,Economia del Hogar,G-4847,Sabado 10:00 - 11:30 a.m,50,42,0
Bogota & Cundinamarca,C-2616,Economia del Hogar,G-4910,Viernes 19:00 - 20:30 p.m,50,34,0
