SECCION 1 - RESUMEN POR ZONA

"Zona","Matriculas","Personas","Capacidad (meta)","Cupos disponibles","Ocupacion (%)","Cursos","Grupos","En espera","Cursos baja ocupacion (<30%)"
Bogota & Cundinamarca,6530,6530,8400,1870,77.7,35,161,111,7
Antioquia & Eje Cafetero,2614,2614,4550,1936,57.5,21,91,16,4
Zona Caribe,2015,2015,2400,385,84.0,23,47,13,3
"Santanderes, Boyaca y Cesar",1378,1378,1470,92,93.7,16,28,11,2
Zona Pacifico,3666,3666,4550,884,80.6,27,88,49,3
Zona Sur & Llanos,3369,3369,5150,1781,65.4,20,103,42,3
Total 6 zonas,19572,19572,26520,6948,73.8,,518,242,22

SECCION 2 - DETALLE DE CURSOS POR ZONA

"Zona","Codigo","Curso","Grupos","Capacidad","Matriculados","Disponibles","Grupos llenos","En espera"
Zona Caribe,C-2661,Orientacion Emprendedora,3,150,112,38,0,0
Zona Caribe,C-2640,Sistemas Nivel 2,1,60,60,0,1,0
Zona Caribe,C-2638,Sistemas e Informatica | Nivel basico,3,150,150,0,3,2
Zona Caribe,C-2645,Ingles Nivel 1,5,200,200,0,5,3
Zona Caribe,C-2649,Ingles Nivel 2,2,100,85,15,1,0
Zona Caribe,C-2683,Italiano Nivel 1,1,60,60,0,1,1
Zona Caribe,C-2688,Portugues Nivel 1,1,50,50,0,1,0
Zona Caribe,C-2630,Profundizacion Costos para Emprendedores,1,50,8,42,0,0
Zona Caribe,C-2533,Despertar Humano,4,200,143,57,1,0
Zona Caribe,C-2734,Pintura en Madera,2,100,72,28,0,0
Zona Caribe,C-2628,Economia del Hogar,4,200,162,38,2,2
Zona Caribe,C-2550,Despertar Emprendedor,2,100,100,0,2,1
Zona Caribe,C-2700,Mi Negocio en Internet,1,50,13,37,0,0
"Santanderes, Boyaca y Cesar",C-2531,Italiano Nivel 1,1,60,60,0,1,1
"Santanderes, Boyaca y Cesar",C-2674,Modisteria (Faldas),1,50,50,0,1,0
"Santanderes, Boyaca y Cesar",C-2622,Orientacion Emprendedora,1,50,50,0,1,0
